ID,Set Number,Card Name,Rarity,Artist,Normal Price($),Holo Foil Price ($),Reverse Holo Price ($),First Edition Holo Price ($),First Edition Normal Price ($),Updated At (YYYY/MM/DD)
gym2-20,20,Sabrina,Rare Holo,Ken Sugimori,,,,57.58,,2023/09/10
gym2-21,21,Blaine's Ninetales,Rare,Ken Sugimori,,,,,,2023/09/10
gym2-22,22,Brock's Dugtrio,Rare,Ken Sugimori,,,,,,2023/09/10
gym2-23,23,Giovanni's Nidoqueen,Rare,Ken Sugimori,,,,,,2023/09/10
gym2-24,24,Giovanni's Pinsir,Rare,Ken Sugimori,,,,,,2023/09/10
gym2-25,25,Koga's Arbok,Rare,Ken Sugimori,,,,,,2023/09/10
gym2-26,26,Koga's Muk,Rare,Ken Sugimori,,,,,,2023/09/10
gym2-27,27,Koga's Pidgeotto,Rare,Ken Sugimori,,,,,,2023/09/10
gym2-28,28,Lt. Surge's Jolteon,Rare,Ken Sugimori,,,,,,2023/09/10
gym2-29,29,Sabrina's Gengar,Rare,Ken Sugimori,,,,,,2023/09/10
gym2-30,30,Sabrina's Golduck,Rare,Ken Sugimori,,,,,,2023/09/10
gym2-31,31,Blaine's Charmeleon,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-32,32,Blaine's Dodrio,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-33,33,Blaine's Rapidash,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-34,34,Brock's Graveler,Uncommon,Atsuko Nishida,,,,,,2023/09/10
gym2-35,35,Brock's Primeape,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-36,36,Brock's Sandslash,Uncommon,Atsuko Nishida,,,,,,2023/09/10
gym2-37,37,Brock's Vulpix,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-38,38,Erika's Bellsprout,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-39,39,Erika's Bulbasaur,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-40,40,Erika's Clefairy,Uncommon,Atsuko Nishida,,,,,,2023/09/10
gym2-41,41,Erika's Ivysaur,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-42,42,Giovanni's Machoke,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-43,43,Giovanni's Meowth,Uncommon,Atsuko Nishida,,,,,,2023/09/10
gym2-44,44,Giovanni's Nidorina,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-45,45,Giovanni's Nidorino,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-46,46,Koga's Golbat,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-47,47,Koga's Kakuna,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-48,48,Koga's Koffing,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-49,49,Koga's Pidgey,Uncommon,Atsuko Nishida,,,,,,2023/09/10
gym2-50,50,Koga's Weezing,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-51,51,Lt. Surge's Eevee,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-52,52,Lt. Surge's Electrode,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-53,53,Lt. Surge's Raticate,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-54,54,Misty's Dewgong,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-55,55,Sabrina's Haunter,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-56,56,Sabrina's Hypno,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym2-57,57,Sabrina's Jynx,Uncommon,Atsuko Nishida,,,,,,2023/09/10
gym2-58,58,Sabrina's Kadabra,Uncommon,Ken Sugimori,,,,,,2023/09/10
